0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0,11,0,28,0,0,0,85,0,91,28,0,95,57,0,0,23,0,0,51,0,0,0,87,0,0,17,63,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,0,17,62,55,0,0,0,0,58,0,0,0,0,11,0,49
0,0,0,0,0,0,0,0,0,45,54,0,0,62,0,0,0,0,0,0,0,0,56,0,0,0,0,0,13,0,0,99,31,17,0,0,0,21,0,0,0,0,0,52,0,0,0,0,0,58,0,0,0,0,0,0,21,0,0,0
11,0,0,0,0,88,0,0,0,0,9,0,87,0,0,0,0,26,0,0,47,0,78,0,0,46,0,0,0,0,0,30,0,0,42,0,0,0,0,0,79,88,0,0,61,51,18,0,17,0,0,57,87,0,24,65,0,0,0,0
0,0,0,0,0,6,13,0,0,0,0,0,0,71,0,0,0,82,85,0,0,0,100,0,0,0,0,95,0,0,0,0,0,76,0,4,0,39,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,38,0,0,0,5,0
28,0,0,0,0,32,9,0,0,84,70,0,5,0,0,0,0,0,0,67,0,91,0,0,0,0,0,9,0,0,0,68,46,0,0,0,0,0,37,0,0,0,0,0,55,0,0,0,0,41,79,66,0,0,0,0,42,0,0,0
0,0,88,6,32,0,0,0,93,0,0,43,0,0,0,0,0,0,98,64,0,0,0,0,0,8,2,0,0,0,0,0,13,63,80,0,0,0,0,95,0,0,0,0,0,26,0,0,0,0,0,0,0,0,89,0,0,59,0,0
0,0,0,13,9,0,0,0,0,19,98,16,0,0,0,0,0,0,0,0,0,24,0,79,0,0,12,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,45,0,0,0,26,82,0,0,0,0,0,0,96,73,96,70,0,0,46,0,0,92,0,0,48,0,47,0,0,22,0,0,0,0,39,5,0,0,0,0,0,0,0
85,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,100,0,0,0,0,55,6,0,0,70,0,0,0,58,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,60,83,0,36,0
0,45,0,0,84,0,19,0,0,0,0,0,42,0,73,0,75,0,0,26,0,28,0,6,0,12,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,45,98,41,4,0,0,50,0,0,24,0,0,64,0,0,77,30,0
91,54,9,0,70,0,98,31,0,0,0,0,0,0,0,23,0,0,68,0,0,0,91,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,17,0,0,0,65,0,31,4,0
28,0,0,0,0,43,16,0,0,0,0,0,0,0,0,0,22,0,29,0,0,0,0,0,0,0,98,60,0,0,0,0,0,0,0,0,0,0,0,19,20,83,0,0,35,3,0,0,0,0,0,47,5,94,87,23,0,0,0,0
0,0,87,0,5,0,0,0,0,42,0,0,0,0,83,0,0,0,0,0,0,37,26,0,0,0,0,82,0,5,64,0,0,0,12,0,0,0,32,0,0,0,0,0,0,0,0,0,0,80,91,0,19,22,29,96,0,0,0,79
95,62,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,89,0,0,0,0,31,0,0,0,0,0,3,93,0,0,0,37,0,0,0,0,0,0,0,73,0,0,0,0,94,0
57,0,0,0,0,0,0,0,0,73,0,0,83,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,8,0,0,0,0,12,0,0,92,65,0,0,39,0,0,0,10
0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,39,0,0,82,0,28,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,75,0,22,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,87,67,0,0,0,0,0,96,0,0,0,0,0,63,0,0
23,0,26,82,0,0,0,45,0,0,0,0,0,0,31,0,0,0,0,43,0,0,0,47,40,0,0,67,0,16,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,59,0,0,97,0,0,0,0,0,0,0,0,0,0,40
0,0,0,85,0,98,0,0,0,0,68,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,69,8,0,0,0,0,0,0,0,0,0,0,0,34,0,30,0,0
0,0,0,0,67,64,0,0,45,26,0,0,0,0,0,0,55,43,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,50,94,94,0,0,0,96,9,0,0,0,0,99,0,0,0,32,0,40,0,0,0,0,0,0,74
51,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,2,0,0,0,0,47,0,0,0,0,0,93,96,0,0,0,0,0,27,0,97,76,0,52,0,32,89,0,0,77,0,29,0,69
0,0,0,0,91,0,24,26,0,28,0,0,37,0,0,0,0,0,0,0,0,0,88,0,23,0,4,95,0,78,0,98,69,0,0,0,0,0,0,37,0,0,26,0,0,0,0,0,15,0,0,0,0,0,68,92,0,33,0,0
0,56,78,100,0,0,0,82,0,0,91,0,26,0,0,0,0,0,0,0,67,88,0,0,0,0,0,0,0,89,0,0,0,0,0,20,0,22,0,0,0,86,0,0,0,60,0,55,0,95,26,0,0,0,0,0,0,93,0,0
0,0,0,0,0,0,79,0,0,6,0,0,0,0,0,80,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,31,75,0,0,0,0,0,0,0,0,0,0,29,0,0,0,43,0,0,0,36,0,0,0,54,0,44
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,23,0,0,0,0,83,0,0,0,0,0,0,64,92,25,0,0,0,0,0,0,0,0,95,0,0,0,0,0,62,0,0,9,0,38,69,0,0,95
0,0,46,0,0,8,0,0,100,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,73,0,86,62,0,0,0,0,0,0,9,40,0,0,0,0,0,74,0,34,0,0,0,0,0,0,24
0,0,0,0,0,2,12,0,0,0,0,98,0,0,0,0,0,0,0,41,2,4,0,0,83,0,0,0,29,0,0,0,0,0,0,79,12,42,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,16,77,0,0,0,31,0
17,0,0,95,9,0,0,0,0,0,0,60,82,0,0,0,0,67,0,0,0,95,0,0,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50,46,58,0,0,0,0,56,6,0,0,0,30,0
63,13,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,8,68,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,96,0,0,0,0,5,89,0,0,0,16,0,0,0,78,89,0,0,0,0,0,0,0,0,0,0,0,0,55,19,0,0,71,10,72,0,71,0,0,0,85,0,0,14,0,25,0,0,0,48,0,0,0
0,0,0,0,0,0,0,73,55,0,0,0,64,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,49,0,0,0
0,99,30,0,68,0,0,96,6,0,0,0,0,0,0,0,0,0,0,0,47,98,0,28,0,0,0,0,0,0,17,0,0,0,0,63,0,0,50,0,0,30,51,0,46,0,0,27,0,0,0,0,12,0,0,0,32,0,0,61
0,31,0,0,46,13,0,70,0,12,55,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,10,0,0,0,0,0,74,0,0,0,0,0,55,0,0,8,0,0,0,61,0,0,97,0,61,57,0,0,83,0,0,1,0
0,17,0,76,0,63,0,0,0,4,0,0,0,0,0,0,0,29,0,0,0,0,0,31,64,73,0,0,0,0,0,0,74,0,7,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,61,0,0,37,0,0,0,0
0,0,42,0,0,80,0,0,70,0,0,0,12,31,0,0,0,0,0,50,0,0,0,75,92,0,0,0,0,0,0,0,0,7,0,0,45,0,0,0,23,56,21,0,0,0,0,0,0,56,0,0,0,0,25,0,0,0,0,0
0,0,0,4,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,94,0,0,20,0,25,86,79,0,8,55,0,63,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,16,0,0,0,0,0,0,90,0,0,0,0
0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,62,12,0,68,19,0,0,0,0,45,0,0,0,0,63,0,0,0,0,0,31,0,0,44,15,0,0,0,0,0,0,0,0,0,0
0,21,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,22,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,97,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,85
0,0,0,0,37,0,0,92,58,0,0,0,32,0,27,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,94,82,69,0,99,0,0,0
0,0,0,0,0,95,0,0,0,0,0,19,0,0,0,0,0,0,59,0,0,37,0,0,0,0,0,0,0,71,0,0,55,0,0,0,63,0,0,0,0,0,23,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,29,0
0,0,79,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,0,0,0,0,0,0,0,0,82,35,29,31,0,0,0,0,0,0,0,0,0,86,0,0,0
0,0,88,0,0,0,0,48,0,0,0,83,0,93,0,53,0,0,0,9,0,0,86,0,0,0,21,0,0,72,0,30,0,0,56,0,0,88,0,0,0,0,66,0,29,0,0,0,0,0,0,87,45,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,69,0,0,26,0,0,0,0,0,0,0,0,0,51,8,0,21,0,0,97,0,23,0,66,0,0,0,0,0,0,0,0,26,84,0,0,94,0,0,0,0,0
39,52,0,0,0,0,69,47,0,98,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,9,0,0,0,71,0,0,0,0,0,81,0,0,65,0,82,0,0,0,0,50,0,0,0,0,0,28,31,0,0,0,88,0,77,0
0,0,61,0,55,0,0,0,0,41,0,35,0,0,0,0,87,0,0,0,27,0,0,0,95,40,0,0,0,0,0,46,0,80,0,0,0,0,0,0,35,29,0,0,0,0,0,0,0,0,0,0,36,0,0,0,98,0,70,0
17,0,51,0,0,26,0,0,0,4,0,3,0,37,0,0,67,59,0,0,0,0,60,29,0,0,0,0,15,0,0,0,0,0,0,0,31,0,0,0,29,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
62,0,18,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,99,97,0,0,0,0,0,0,50,0,0,0,0,61,0,0,0,0,0,0,0,31,0,0,0,0,0,0,20,0,0,0,0,0,99,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,55,0,0,0,0,46,0,85,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,66,0,0,6,6,0,0,0,0,0,0,0
