0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0,95,17,66,0,0,0,21,0,16,55,0,25,72,0,0,53,0,0,46,0,0,8,85,0,84,81,41,0,0,0,0,0,0,69,0,0,0,0,0,0,98,41,81,15,15,24,80,0,39,90,19,24,0,0,0,16,0,24
0,0,80,0,0,0,0,0,0,41,47,92,59,76,0,0,36,0,93,0,0,36,27,0,2,0,0,11,1,0,0,52,47,90,0,0,0,88,41,0,0,0,0,12,0,0,0,3,0,16,0,0,0,0,25,0,17,0,0,34
95,80,0,0,0,29,0,0,0,0,18,86,24,0,0,0,14,28,0,0,9,0,57,0,0,21,0,0,47,0,0,5,0,0,27,10,0,0,0,0,60,38,21,0,25,69,4,0,89,0,0,85,90,0,68,16,0,0,0,0
17,0,0,0,0,87,57,0,0,0,0,0,0,47,0,1,0,30,1,0,0,96,25,0,0,0,0,84,0,0,0,0,0,97,0,92,0,51,13,0,71,0,0,0,0,0,0,0,18,8,0,0,0,0,97,0,0,0,88,0
66,0,0,0,0,67,3,0,0,13,22,0,15,0,0,0,0,0,0,93,0,72,98,0,40,75,0,77,0,0,0,15,8,97,0,0,0,38,12,0,0,0,0,0,77,0,25,0,0,28,62,67,0,70,0,0,81,0,32,0
0,0,29,87,67,0,0,0,29,0,29,37,0,0,51,0,0,0,58,56,0,0,0,0,0,17,64,86,0,0,0,0,6,21,100,0,0,0,0,72,0,0,0,0,0,73,0,62,0,0,0,0,39,0,21,0,0,59,0,0
0,0,0,57,3,0,0,44,0,49,55,51,23,0,0,15,0,71,0,0,0,49,0,33,0,79,38,0,0,45,0,0,57,0,84,0,95,0,0,0,0,0,68,57,0,3,32,0,0,25,29,0,0,91,71,0,0,0,0,0
0,0,0,0,0,0,44,0,65,0,53,74,0,0,0,0,0,43,0,0,0,35,60,0,0,38,0,0,0,1,32,32,38,0,0,74,0,0,32,0,0,69,0,94,0,0,77,0,7,0,0,74,5,0,0,0,0,0,0,0
21,0,0,0,0,29,0,65,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,30,86,7,96,2,0,56,10,0,0,57,0,0,0,14,0,0,0,0,0,0,14,52,2,0,0,0,0,0,0,0,53,21,0,96,47
0,41,0,0,13,0,49,0,0,0,0,0,41,0,19,0,42,55,0,59,0,72,0,65,0,89,1,0,90,0,0,35,4,29,0,0,32,0,0,0,0,0,34,40,20,33,0,0,48,0,0,2,0,0,60,0,0,67,54,86
16,47,18,0,22,29,55,53,0,0,0,0,0,68,0,53,0,0,81,0,0,0,74,0,0,24,0,88,0,31,0,0,94,0,0,0,0,0,0,0,76,0,0,0,0,0,16,0,0,20,0,17,0,0,61,76,0,17,51,0
55,92,86,0,0,37,51,74,0,0,0,0,4,0,0,66,51,0,68,0,0,0,0,0,0,0,91,50,0,37,0,0,0,0,0,3,0,70,8,10,3,12,0,0,98,31,0,0,0,0,55,13,30,73,39,82,0,66,0,0
0,59,24,0,15,0,23,0,0,41,0,4,0,0,46,0,0,0,0,0,0,17,84,0,0,0,0,27,0,88,58,0,87,0,67,0,0,0,13,0,0,0,0,0,25,0,0,0,0,24,88,0,68,16,67,46,0,0,37,88
25,76,0,47,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,85,4,0,0,34,12,0,0,0,0,0,42,47,0,18,4,11,0,0,0,0,0,0,11,93,0,0,0,0,2,0
72,0,0,0,0,51,0,0,0,19,0,0,46,0,0,0,0,18,75,60,0,0,73,0,23,0,0,0,0,78,42,0,0,0,0,0,0,0,68,57,0,0,0,94,0,0,0,0,33,0,0,56,29,0,0,86,0,0,0,61
0,0,0,1,0,0,15,0,0,0,53,66,0,0,0,0,0,0,0,0,87,0,0,12,0,62,0,0,0,0,3,0,0,0,0,0,68,72,0,0,0,67,0,49,0,0,0,28,83,0,0,18,0,62,0,0,0,23,0,0
0,36,14,0,0,0,0,0,0,42,0,51,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,49,0,0,77,0,0,0,0,0,31,93,0,0,0,72,2,0,0,0,0,0,23,0,0,0,0,0,46,0,7
53,0,28,30,0,0,71,43,0,55,0,0,0,0,18,0,0,0,48,10,0,0,0,38,30,0,0,67,0,100,0,84,90,75,0,0,0,47,0,53,0,0,0,68,0,87,51,0,77,0,0,0,53,0,0,77,0,0,0,71
0,93,0,1,0,58,0,0,1,0,81,68,0,0,75,0,0,48,0,0,0,0,88,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,71,70,0,0,0,0,0,79,0,0,0,0,90,5,0,31,0,0
0,0,0,0,93,56,0,0,34,59,0,0,0,0,60,0,99,10,0,0,0,0,0,0,68,0,28,0,0,0,0,0,0,0,36,82,70,0,0,0,88,43,0,0,88,0,98,0,21,0,52,0,15,0,0,0,0,0,0,8
46,0,9,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,52,0,0,0,62,44,0,0,0,40,0,0,0,66,42,54,31,0,0,0,0,0,14,0,84,83,0,12,0,96,8,0,33,42,0,54,0,43
0,36,0,96,72,0,49,35,0,72,0,0,17,0,0,0,0,0,0,0,0,0,87,85,66,0,1,89,0,83,44,25,88,0,0,0,0,0,0,33,0,0,97,0,0,0,0,0,6,0,0,0,0,0,7,49,0,48,73,0
0,27,57,25,98,0,0,60,0,0,74,0,84,0,73,0,0,0,88,0,52,87,0,0,17,0,0,0,0,74,0,0,0,0,0,73,0,7,82,0,0,55,0,0,18,87,0,6,0,86,49,0,0,0,0,0,69,92,46,0
8,0,0,0,0,0,33,0,0,65,0,0,0,0,0,12,0,38,0,0,0,85,0,0,0,0,0,0,0,60,0,79,0,48,100,0,59,0,0,0,0,0,0,0,0,27,0,0,5,2,0,22,63,3,0,0,0,9,0,42
85,2,0,0,40,0,0,0,30,0,0,0,0,0,23,0,0,30,0,68,0,66,17,0,0,0,45,0,71,24,0,0,0,35,54,42,0,0,47,0,0,0,98,0,5,0,97,0,0,0,88,46,0,51,82,57,60,22,90,69
0,0,21,0,75,17,79,38,86,89,24,0,0,0,0,62,0,0,24,0,0,0,0,0,0,0,0,50,34,0,0,0,0,44,0,82,35,0,0,0,0,0,0,91,47,54,0,0,0,0,55,0,31,0,0,60,62,53,35,42
84,0,0,0,0,64,38,0,7,1,0,91,0,0,0,0,0,0,0,28,62,1,0,0,45,0,0,0,15,0,0,75,0,0,0,27,85,13,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,85,32,0,5,34,40,0
81,11,0,84,77,86,0,0,96,0,88,50,27,0,0,0,0,67,0,0,44,89,0,0,0,50,0,0,97,0,64,0,61,0,0,0,0,0,0,0,0,0,0,0,87,0,56,80,56,0,33,0,0,33,41,0,0,0,36,76
41,1,47,0,0,0,0,0,2,90,0,0,0,81,0,0,0,0,0,0,0,0,0,0,71,34,15,97,0,6,0,27,0,0,0,10,80,0,33,0,0,0,0,23,0,72,90,0,0,47,0,0,91,80,0,0,0,0,0,0
0,0,0,0,0,0,45,1,0,0,31,37,88,85,78,0,0,100,0,0,0,83,74,60,24,0,0,0,6,0,0,0,0,24,92,100,10,0,0,49,45,85,0,38,0,0,0,45,92,0,94,60,65,0,0,0,23,0,0,0
0,0,0,0,0,0,0,32,56,0,0,0,58,4,42,3,49,0,0,0,0,44,0,0,0,0,0,64,0,0,0,46,0,84,0,0,0,70,0,0,0,28,0,0,0,67,8,0,0,0,0,57,83,0,0,0,3,0,0,96
0,52,5,0,15,0,0,32,10,35,0,0,0,0,0,0,0,84,0,0,40,25,0,79,0,0,75,0,27,0,46,0,0,44,0,17,0,0,96,0,4,80,48,0,70,0,72,60,0,0,0,0,49,69,0,0,14,0,0,29
0,47,0,0,8,6,57,38,0,4,94,0,87,0,0,0,0,90,0,0,0,88,0,0,0,0,0,61,0,0,0,0,0,42,13,0,0,0,0,71,48,18,58,0,0,0,75,0,0,80,0,74,22,0,0,61,0,0,60,0
0,90,0,97,97,21,0,0,0,29,0,0,0,34,0,0,77,75,0,0,0,0,0,48,35,44,0,0,0,24,84,44,42,0,48,0,0,0,0,94,0,0,0,78,94,0,2,0,0,0,0,42,23,0,0,0,0,0,0,0
0,0,27,0,0,100,84,0,57,0,0,0,67,12,0,0,0,0,0,36,0,0,0,100,54,0,0,0,0,92,0,0,13,48,0,0,32,0,0,27,17,60,33,0,0,0,0,100,0,15,92,0,0,67,4,42,0,0,0,61
69,0,10,92,0,0,0,74,0,0,0,3,0,0,0,0,0,0,0,82,66,0,73,0,42,82,27,0,10,100,0,17,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,48,84,0,73,0,0,0,90,19,0,49,0,31
0,0,0,0,0,0,95,0,0,32,0,0,0,0,0,68,0,0,0,70,42,0,0,59,0,35,85,0,80,10,0,0,0,0,32,0,0,0,0,40,0,32,0,0,0,20,0,0,74,20,0,88,48,0,0,0,0,88,0,0
0,88,0,51,38,0,0,0,0,0,0,70,0,0,0,72,0,47,0,0,54,0,7,0,0,0,13,0,0,0,70,0,0,0,0,0,0,0,0,34,0,83,91,0,0,2,0,51,85,0,0,50,0,0,41,0,0,0,0,62
0,41,0,13,12,0,0,32,14,0,0,8,13,0,68,0,0,0,0,0,31,0,82,0,47,0,0,0,33,0,0,96,0,0,0,0,0,0,0,0,0,52,64,78,0,0,0,0,0,0,0,0,78,49,27,0,17,0,10,0
0,0,0,0,0,72,0,0,0,0,0,10,0,0,57,0,31,53,51,0,0,33,0,0,0,0,0,0,0,49,0,0,71,94,27,0,40,34,0,0,0,0,11,99,0,0,0,0,0,96,0,0,0,0,25,0,0,0,29,0
0,0,60,71,0,0,0,0,0,0,76,3,0,42,0,0,93,0,51,88,0,0,0,0,0,0,0,0,0,45,0,4,48,0,17,0,0,0,0,0,0,0,0,32,55,45,66,85,0,70,0,0,0,51,0,0,12,5,0,0
0,0,38,0,0,0,0,69,0,0,0,12,0,47,0,67,0,0,0,43,0,0,55,0,0,0,58,0,0,85,28,80,18,0,60,0,32,83,52,0,0,0,24,0,65,0,0,0,0,0,0,22,78,0,0,0,0,0,0,0
98,0,21,0,0,0,68,0,0,34,0,0,0,0,0,0,0,0,71,0,0,97,0,0,98,0,0,0,0,0,0,48,58,0,33,0,0,91,64,11,0,24,0,0,29,0,0,0,0,91,66,13,0,0,68,0,0,0,0,0
41,12,0,0,0,0,57,94,0,40,0,0,0,18,94,49,0,68,70,0,0,0,0,0,0,91,0,0,23,38,0,0,0,78,0,36,0,0,78,99,32,0,0,0,0,38,4,0,31,0,68,80,9,60,11,0,26,0,85,26
81,0,25,0,77,0,0,0,0,20,0,98,25,4,0,0,72,0,0,88,14,0,18,0,5,47,0,87,0,0,0,70,0,94,0,0,0,0,0,0,55,65,29,0,0,0,10,0,0,0,0,92,62,0,0,0,48,79,76,0
15,0,69,0,0,73,3,0,14,33,0,31,0,11,0,0,2,87,0,0,0,0,87,27,0,54,0,0,72,0,67,0,0,0,0,0,20,2,0,0,45,0,0,38,0,0,0,0,0,0,0,0,0,0,0,81,0,0,70,0
15,0,4,0,25,0,32,77,52,0,16,0,0,0,0,0,0,51,0,98,84,0,0,0,97,0,0,56,90,0,8,72,75,2,0,0,0,0,0,0,66,0,0,4,10,0,0,73,0,0,4,0,0,88,0,3,0,20,0,0
24,3,0,0,0,62,0,0,2,0,0,0,0,0,0,28,0,0,0,0,83,0,6,0,0,0,0,80,0,45,0,60,0,0,100,48,0,51,0,0,85,0,0,0,0,0,73,0,11,0,0,10,44,25,0,0,0,0,23,0
80,0,89,18,0,0,0,7,0,48,0,0,0,0,33,83,0,77,0,21,0,6,0,5,0,0,0,56,0,92,0,0,0,0,0,84,74,85,0,0,0,0,0,31,0,0,0,11,0,74,0,0,40,33,0,0,0,74,0,24
