0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499
0,4,82,98,69,82,38,56,95,18,8,34,77,39,30,83,0,89,18,47,98,77,53,30,86,26,0,4,0,68,76,73,65,26,64,0,43,31,88,62,79,0,39,29,37,0,89,80,8,0,0,54,97,43,0,8,32,0,63,82,56,84,41,0,0,73,0,41,0,81,77,0,82,60,51,70,41,18,49,4,0,0,73,31,47,50,52,54,67,17,16,24,88,35,68,27,0,0,45,0,0,60,49,32,0,0,52,0,96,73,8,76,0,0,0,47,9,46,67,94,27,0,0,6,41,36,67,0,85,0,0,5,3,0,90,89,0,94,9,4,12,45,0,80,50,0,29,47,16,0,28,78,90,0,0,3,63,0,16,0,0,0,0,0,0,13,90,0,0,73,45,49,0,67,24,78,93,38,99,60,43,15,78,28,0,19,27,42,63,0,13,65,27,22,57,47,4,4,1,76,76,0,1,44,90,87,91,57,2,15,33,0,53,38,61,39,0,78,0,91,0,0,41,3,65,11,6,35,7,17,54,58,76,66,48,49,58,0,2,27,94,67,0,51,51,80,19,58,71,14,18,68,0,24,17,7,85,0,41,0,50,40,3,68,60,0,69,29,14,53,0,28,80,83,43,55,0,30,0,60,51,99,0,0,0,90,0,0,65,37,0,48,16,50,64,97,0,0,72,0,0,4,94,33,74,47,9,54,17,45,57,30,22,73,72,17,70,35,48,42,82,71,37,69,4,17,57,77,0,7,5,72,86,17,19,0,74,77,0,25,59,87,77,40,38,67,0,85,0,71,0,22,85,91,65,71,21,82,39,100,0,94,0,30,0,93,71,80,71,6,0,95,0,88,6,0,65,29,3,13,51,2,0,49,0,46,93,61,0,85,91,20,0,2,47,86,0,0,0,0,52,0,65,74,10,79,0,31,77,23,64,1,90,84,0,40,82,64,14,0,91,0,0,82,54,21,0,0,76,0,20,0,0,85,100,8,27,74,0,82,19,0,89,55,4,84,0,5,19,82,70,0,85,80,0,0,0,75,2,23,0,0,16,65,34,0,67,0,0,2,31,89,5,63,0,0,0,0,0,72,97,0,65,0,0,39,0,49,0,94,0,88,7,80,32,93,79,51,46,0
4,0,76,39,80,0,7,39,4,77,11,54,45,5,75,52,87,66,24,7,59,39,97,35,66,38,81,7,24,1,0,19,63,97,63,94,9,27,57,30,6,82,39,21,93,37,50,29,30,0,19,27,29,13,53,22,32,0,24,26,75,22,39,70,0,34,0,55,13,46,52,47,93,94,1,0,55,12,83,60,28,26,6,27,93,39,88,29,66,67,88,31,71,42,5,50,15,79,57,0,0,67,27,32,3,27,94,0,69,21,72,68,31,0,17,35,96,92,30,84,57,54,36,67,90,46,69,0,63,7,0,68,6,0,14,18,0,16,6,36,17,91,28,90,91,98,64,29,72,64,75,40,34,9,0,33,12,0,13,27,0,0,60,15,0,28,80,0,42,99,12,90,64,12,75,8,97,14,88,51,67,3,99,95,2,26,43,25,16,74,84,23,12,93,0,85,63,60,60,82,71,53,39,38,89,26,10,9,63,72,82,66,37,35,55,31,19,25,82,74,0,100,95,4,49,0,66,8,81,20,76,72,17,94,69,52,35,59,14,2,26,65,0,34,61,32,52,88,0,53,31,25,27,18,1,64,55,13,30,4,58,42,89,9,74,19,65,30,73,24,0,38,5,74,36,31,15,12,3,45,37,22,0,68,52,98,0,40,84,86,24,57,27,57,48,54,21,7,66,46,63,34,38,63,83,57,50,87,66,13,18,57,3,78,24,52,64,27,75,12,65,34,96,95,79,74,48,43,67,85,20,43,69,1,56,0,91,82,0,1,92,97,0,20,74,5,0,15,0,91,13,88,62,90,81,46,75,57,60,76,45,42,0,33,29,47,62,74,60,7,52,46,19,23,8,23,77,0,94,9,13,41,60,70,95,90,97,64,0,94,28,97,61,33,71,86,0,62,39,59,99,0,28,11,63,4,88,77,94,84,20,1,89,91,52,66,34,51,26,11,94,78,0,22,42,79,98,0,14,78,4,40,61,36,26,91,100,60,74,78,69,73,80,30,16,82,67,5,55,81,78,0,100,9,48,79,97,83,91,89,8,32,60,91,24,67,60,46,30,94,87,27,10,6,0,0,0,31,18,63,40,0,83,65,97,44,0,71,71,6,70,83,78,2,30,15,9,27,70,0
82,76,0,70,79,77,0,42,64,72,32,71,25,0,45,23,57,63,20,83,43,26,81,5,33,58,96,0,53,12,54,77,15,0,33,43,87,87,44,63,60,37,74,37,0,95,40,61,79,15,78,89,20,63,44,7,4,24,70,78,34,58,0,26,25,22,94,22,85,6,60,91,3,14,8,40,3,1,81,58,18,17,54,18,86,55,11,46,57,71,57,72,94,91,20,94,69,55,65,42,41,20,88,26,43,51,95,44,28,8,30,9,72,59,59,0,83,10,33,18,35,20,43,72,98,10,54,51,0,51,79,61,49,9,37,90,72,0,96,86,76,81,4,53,12,99,53,80,42,42,38,44,0,93,41,13,8,63,92,88,91,33,36,100,37,62,37,40,70,39,40,0,48,74,78,33,8,49,34,63,54,2,50,67,7,68,97,98,49,43,35,30,77,56,48,31,23,0,36,61,46,63,36,93,47,92,66,0,47,32,83,0,74,10,45,63,1,84,3,54,0,13,25,34,86,33,11,88,90,24,33,48,59,16,2,9,24,67,24,5,46,61,59,73,70,6,31,10,63,11,24,83,98,96,78,5,71,72,37,1,82,96,75,12,0,90,60,73,62,11,82,0,45,41,72,71,19,28,14,74,44,15,25,47,51,14,79,33,82,96,11,99,97,71,97,75,13,67,35,70,22,16,50,81,68,81,64,80,84,48,39,1,41,98,48,86,93,22,0,48,33,20,40,2,17,0,69,78,7,0,80,28,7,8,82,51,41,16,3,55,80,0,78,30,2,6,49,62,36,9,47,93,47,29,25,90,20,80,33,50,62,22,37,45,28,74,14,6,82,33,38,81,14,31,66,69,41,59,99,38,60,93,1,75,30,43,92,7,99,84,6,21,75,49,84,6,34,29,5,99,81,53,70,0,2,65,3,93,34,64,12,12,87,57,42,22,0,15,78,37,94,78,58,99,75,77,9,7,83,56,94,24,64,90,34,78,0,86,13,56,55,21,59,60,31,92,74,60,51,63,17,8,48,7,19,1,69,63,2,72,88,41,47,48,97,51,55,15,10,30,14,18,63,11,77,83,50,87,95,83,31,68,40,0,49,0,69,23,72,8,59,88,74,36,72,47,37,7,16,56
98,39,70,0,21,8,0,42,0,69,86,49,47,46,51,17,0,2,14,66,18,83,0,0,28,82,0,64,0,38,15,42,42,62,93,0,10,29,13,79,43,0,16,91,0,0,44,0,79,72,0,37,0,0,0,7,4,40,0,61,12,90,0,0,98,72,0,0,0,38,23,0,82,17,75,78,97,57,84,93,0,0,46,0,6,85,0,68,0,100,39,20,76,82,71,47,0,0,82,70,0,70,47,62,0,0,9,0,98,22,39,36,0,0,0,0,11,67,81,15,94,0,0,39,18,0,0,0,0,0,51,77,63,0,60,60,0,87,0,0,35,69,0,62,2,0,27,98,97,0,77,44,78,0,58,21,60,0,87,0,0,97,0,0,41,51,57,61,0,30,72,0,0,37,97,16,65,86,6,0,28,72,11,0,0,61,7,96,23,0,75,95,80,0,12,81,6,0,97,62,68,0,16,0,6,31,85,49,82,88,93,0,96,37,74,0,0,43,0,0,0,0,6,84,48,21,53,0,37,21,0,25,51,0,25,31,26,0,90,82,17,0,0,0,77,4,14,0,35,10,57,68,0,0,0,49,75,39,92,0,31,42,10,63,0,0,14,56,0,55,0,42,0,31,32,66,0,13,0,57,34,47,42,0,18,79,0,0,33,78,0,20,6,78,72,6,0,0,69,0,0,98,68,0,0,79,64,49,76,44,27,49,89,100,59,72,90,11,82,10,88,21,80,30,76,13,19,19,0,0,25,49,6,3,1,0,88,27,0,7,5,23,0,99,0,68,0,63,0,79,0,16,22,0,50,91,99,81,0,84,0,6,0,83,0,59,37,79,3,96,0,0,0,6,37,0,71,24,56,37,75,21,0,11,0,46,0,100,0,71,66,38,0,93,43,45,69,0,0,0,2,0,31,39,6,64,0,24,84,44,41,15,93,0,0,6,95,20,68,0,0,0,61,84,50,95,0,0,63,0,4,0,0,75,0,4,86,1,0,0,19,0,49,0,58,65,0,98,21,99,100,2,86,77,0,0,0,90,98,5,11,0,20,93,62,0,64,0,0,4,76,85,81,62,2,0,84,0,0,42,91,0,80,0,0,59,0,32,0,9,0,0,37,4,62,7,47,38,74,62
69,80,79,21,0,29,42,46,57,71,75,8,11,29,33,50,0,45,83,45,39,11,20,2,13,63,0,17,40,63,0,10,0,63,57,0,98,4,22,65,46,0,65,96,34,24,62,26,74,0,0,88,33,41,0,73,40,0,73,37,11,88,24,0,0,57,0,44,0,97,59,0,31,52,61,0,28,22,82,65,13,0,16,64,86,14,75,19,9,64,12,100,59,93,33,50,0,0,42,0,0,69,89,35,0,40,3,0,70,62,88,63,39,0,0,31,2,28,60,23,40,0,83,17,20,68,58,0,14,0,0,12,14,0,34,19,0,96,54,9,87,9,0,92,2,0,54,9,24,0,75,27,47,0,0,23,71,0,10,0,0,0,0,0,0,0,64,0,0,34,19,37,0,16,67,7,68,38,22,6,40,13,96,54,0,18,10,58,78,0,98,2,53,20,0,35,32,11,49,85,45,0,4,77,26,0,3,94,38,19,6,58,97,25,0,31,0,24,0,7,0,0,6,41,7,0,67,22,44,80,65,33,92,82,1,43,92,0,2,0,43,12,0,0,99,15,85,59,35,24,92,71,59,31,25,8,72,0,45,98,69,49,0,56,92,22,40,80,5,35,0,0,54,55,11,72,0,63,0,7,75,27,0,0,0,21,0,69,2,54,0,78,70,68,23,69,17,0,87,0,3,97,87,65,72,83,67,74,5,75,39,19,13,25,32,47,56,38,7,76,59,45,54,33,49,37,84,26,72,65,31,53,82,48,43,0,27,52,0,44,41,20,49,5,83,74,0,38,0,75,0,1,99,34,25,60,17,61,41,74,0,0,0,68,0,61,71,42,32,5,0,3,0,54,74,0,38,0,55,72,20,27,0,28,0,24,3,90,0,79,66,27,0,26,39,46,0,63,0,48,60,0,79,89,51,64,28,60,69,11,37,0,24,89,0,13,63,61,14,0,92,0,0,95,50,75,17,0,21,70,49,0,0,6,74,29,74,85,0,10,85,0,0,55,34,5,0,41,22,21,40,0,67,39,16,0,5,59,48,16,0,0,86,74,21,97,85,0,0,85,4,0,85,83,0,0,0,21,50,5,58,0,46,0,0,99,0,19,0,85,0,22,98,12,57,58,45,78,56,0
82,0,77,8,29,0,86,24,61,50,5,30,50,82,86,48,79,99,37,66,35,36,2,40,99,94,71,15,34,4,24,33,79,97,39,13,33,51,56,13,4,52,37,75,24,38,6,20,97,0,30,60,96,36,11,22,76,55,60,85,3,88,32,10,23,95,64,5,92,37,96,20,56,17,35,9,35,57,80,33,53,85,83,73,8,21,26,14,64,69,70,0,46,48,11,91,46,83,21,0,0,95,30,40,43,94,79,0,28,47,79,74,43,75,51,71,72,29,19,37,80,55,100,54,58,19,83,0,85,12,94,100,49,53,53,87,40,41,92,30,0,88,57,33,12,52,26,4,55,76,94,69,29,32,36,56,72,79,41,45,0,58,57,31,94,49,79,6,9,62,14,8,97,81,59,5,0,0,2,45,40,91,81,54,80,46,93,79,83,82,67,53,18,42,97,94,24,40,47,29,16,86,0,24,20,56,85,60,36,81,74,90,20,45,91,88,42,48,57,31,71,5,32,62,55,66,13,37,65,45,63,57,76,76,5,49,56,37,23,84,67,7,35,33,25,13,15,98,86,59,55,49,60,59,60,4,36,8,15,42,20,72,83,14,20,83,47,31,19,15,42,17,30,62,27,19,54,78,54,50,49,37,75,19,92,69,1,11,53,3,98,33,2,55,71,79,96,17,53,43,16,49,29,1,2,56,48,78,92,26,53,28,44,24,71,42,75,53,39,40,64,94,59,57,78,28,6,79,83,83,2,0,76,4,31,67,41,14,28,86,56,55,99,7,9,31,61,51,27,75,91,16,71,42,37,13,18,93,41,78,18,90,0,76,78,79,31,67,42,88,45,75,6,3,4,9,13,78,75,29,51,66,20,4,12,64,88,86,0,24,84,53,79,0,72,18,29,94,77,45,75,100,91,27,85,99,97,56,46,95,17,59,80,44,64,89,97,30,32,10,20,49,33,45,49,0,79,0,55,7,52,92,80,23,82,58,63,19,47,89,81,25,46,13,74,91,42,90,25,58,0,39,31,74,47,37,74,3,54,37,59,73,24,24,43,12,100,51,58,35,40,31,30,0,0,28,0,25,28,94,62,11,1,38,83,25,82,66,19,17,48,6,87,55,0,100,54,0,13,0
38,7,0,0,42,86,0,47,60,0,0,45,0,26,0,0,0,100,0,0,74,99,53,61,68,26,69,9,98,40,0,2,0,3,53,7,0,58,0,95,93,0,58,0,5,62,52,26,0,0,97,39,74,36,0,0,98,0,38,41,0,0,38,18,0,31,0,8,72,93,23,9,65,74,38,0,96,19,15,55,78,82,0,72,44,0,38,36,89,41,0,0,13,0,98,96,98,66,78,0,0,0,95,97,0,2,5,0,63,80,0,3,44,0,100,42,64,89,0,46,28,0,69,21,82,24,68,0,82,64,0,31,0,0,82,53,0,34,92,48,79,7,0,0,1,64,66,36,77,33,0,0,37,33,0,0,90,0,11,8,0,0,45,98,0,94,5,0,24,56,71,47,56,0,93,0,0,0,0,39,4,83,4,99,91,47,0,91,18,82,72,46,7,86,0,0,40,20,91,11,5,0,39,72,73,0,81,49,91,0,63,46,7,94,0,86,71,14,48,97,0,0,0,90,0,0,58,13,0,33,73,30,68,38,70,27,81,0,20,0,48,95,0,33,97,3,66,48,13,90,51,43,55,49,22,24,87,0,12,7,0,0,0,0,73,55,90,0,8,52,0,100,2,0,40,0,60,0,96,2,79,49,0,3,0,45,0,94,70,86,31,0,0,3,68,0,37,79,5,55,3,35,0,66,88,98,15,40,100,17,94,25,3,51,20,0,64,83,18,4,0,29,0,0,68,39,0,0,79,17,1,0,0,30,79,73,0,59,0,25,77,61,5,54,87,86,0,0,0,82,0,0,72,0,11,0,0,96,28,37,67,0,0,11,35,82,0,90,67,24,0,67,10,0,4,0,16,0,36,54,0,5,0,40,28,16,36,71,0,33,0,38,32,0,63,0,0,57,0,84,61,0,50,97,40,99,89,67,29,0,0,0,0,75,0,0,16,19,38,0,22,0,0,71,0,0,90,0,81,64,0,0,67,67,4,0,40,0,76,88,88,22,0,21,4,6,69,1,44,59,0,0,63,0,6,0,53,23,89,0,0,0,26,9,90,39,91,0,0,0,0,0,30,0,0,0,0,13,86,78,54,0,54,79,0,4,0,26,60,39,83,68,0,0,3,97,53,0,34,0
56,39,42,42,46,24,47,0,37,99,49,80,60,75,77,45,99,32,6,18,69,45,24,85,91,99,87,99,1,33,65,30,55,58,7,5,93,24,23,56,12,51,19,4,10,46,48,96,70,28,32,41,38,25,11,84,64,46,29,63,24,15,22,27,44,58,12,89,79,11,35,95,83,49,91,85,66,12,69,7,49,57,70,7,20,59,49,60,1,23,7,42,87,75,84,11,20,6,94,35,87,49,55,7,39,100,62,67,68,11,13,53,89,0,27,50,64,0,69,74,85,91,84,67,62,21,24,95,70,88,67,77,70,94,30,6,5,50,8,96,49,92,79,42,34,93,93,64,67,33,43,59,26,9,5,60,84,8,71,77,23,13,20,82,49,41,46,31,65,30,89,17,99,52,12,4,47,16,14,5,54,52,38,4,11,17,42,95,85,33,60,35,53,29,37,42,30,82,21,87,37,95,79,78,19,41,66,49,69,97,14,71,37,9,24,79,100,4,5,71,80,22,25,42,49,74,25,64,32,12,50,36,64,52,24,14,39,32,63,72,50,67,91,50,59,30,73,97,88,0,10,2,76,49,99,2,94,28,53,80,52,97,52,20,57,66,62,6,57,61,16,44,85,9,93,17,80,27,67,17,13,73,87,75,87,67,100,84,8,96,78,95,65,18,78,43,46,46,30,1,92,67,9,68,93,11,24,19,33,86,10,19,51,25,82,88,54,52,52,18,99,49,15,84,73,45,10,97,5,64,41,44,46,40,54,86,88,73,18,75,2,90,54,48,93,16,46,99,14,85,6,69,22,73,78,19,66,88,51,27,72,33,22,23,88,24,59,71,77,20,26,53,95,49,32,4,83,91,52,42,81,74,14,28,3,19,95,36,67,24,20,0,6,30,11,1,74,11,70,21,1,39,29,4,48,46,66,31,65,8,81,40,25,48,86,78,28,55,84,72,91,70,45,38,68,25,89,92,12,67,77,10,19,75,2,29,89,17,65,53,38,47,57,21,66,50,38,1,93,3,90,75,95,47,93,76,10,36,7,52,61,53,3,68,0,46,61,81,0,87,49,94,99,53,87,71,2,89,32,29,53,2,39,33,16,16,46,29,22,31,25,31,21,55,32,16,9,31,56,64
95,4,64,0,57,61,60,37,0,0,26,74,38,82,50,37,46,34,25,99,40,22,63,61,82,20,64,31,2,78,57,5,92,12,80,98,89,51,12,21,49,33,69,99,43,36,84,69,57,28,79,82,48,98,78,68,59,56,79,88,15,60,0,53,100,44,70,85,52,6,11,46,58,0,3,19,17,7,0,44,55,45,0,27,40,28,13,99,93,68,65,0,64,89,86,0,45,48,54,0,0,90,23,54,71,9,91,0,91,18,11,42,94,25,81,68,89,95,4,0,74,50,24,84,73,27,35,0,99,7,68,31,91,28,60,43,7,65,32,11,82,37,96,26,56,62,67,65,17,79,75,2,3,86,30,53,17,97,4,35,73,52,86,71,39,76,56,72,13,54,43,45,41,0,9,28,0,0,0,51,21,85,0,98,65,6,47,60,42,83,64,47,42,43,18,3,24,98,3,7,63,27,72,8,69,37,62,29,13,0,79,73,65,42,54,51,23,53,70,11,22,24,96,7,14,32,74,91,11,32,33,67,2,86,97,50,1,32,82,83,75,79,11,57,55,28,93,49,81,37,98,64,75,88,72,23,67,83,95,5,0,71,55,0,78,28,65,61,45,10,55,98,10,62,34,9,16,25,81,62,13,15,86,98,32,18,20,17,81,65,38,58,35,60,33,89,24,94,66,61,76,32,11,95,37,25,17,1,71,8,17,88,58,65,46,69,85,50,78,98,16,15,42,65,67,93,61,16,19,37,68,0,86,21,87,66,0,50,7,40,6,34,97,53,52,56,80,24,43,96,36,39,38,66,51,84,34,0,78,23,86,31,0,96,84,43,0,35,71,88,51,29,44,41,13,89,92,66,68,5,68,64,27,40,51,50,79,41,0,7,92,56,71,0,45,60,72,43,9,45,67,12,76,51,86,93,93,19,82,58,57,80,39,32,49,30,25,94,0,18,56,27,90,46,87,0,15,0,51,35,86,74,81,55,27,2,93,84,90,76,38,38,94,87,78,84,45,94,81,58,0,83,48,94,78,21,60,89,22,32,59,91,37,34,12,38,83,48,56,18,56,49,78,0,35,85,51,72,22,40,49,2,60,53,23,77,72,57,48,19,100,94,70,44,61,95,3,0,90,90
18,77,72,69,71,50,0,99,0,0,4,33,76,58,97,33,0,97,68,78,96,48,12,8,82,41,0,100,0,80,9,65,41,17,3,0,95,25,29,51,84,0,27,71,37,0,0,0,46,0,0,87,0,0,0,15,83,0,0,12,45,14,0,0,0,27,0,0,0,46,48,0,70,70,2,20,9,87,62,5,0,0,35,0,51,96,0,35,0,61,81,40,14,8,41,24,0,0,93,0,0,48,41,16,0,0,17,0,19,83,16,60,0,0,0,88,60,52,61,72,3,0,0,49,89,0,0,0,80,0,0,15,56,0,8,39,0,99,0,0,53,24,0,93,99,0,5,16,62,0,15,95,16,0,0,86,97,0,19,0,0,0,0,0,0,11,14,0,0,52,26,0,0,40,28,2,87,23,94,0,5,51,14,0,0,87,14,88,90,0,20,13,21,3,9,63,95,0,90,2,51,0,31,0,69,33,16,98,13,33,34,0,45,78,49,0,0,36,0,0,0,0,69,84,85,21,4,0,38,20,6,57,88,0,100,41,77,0,21,7,26,0,0,0,97,30,78,0,58,38,84,31,0,0,0,21,24,0,74,0,47,51,59,18,0,0,50,22,0,89,0,17,0,7,18,51,0,34,0,39,12,28,0,0,0,8,0,0,80,0,0,66,39,55,28,80,0,0,25,0,0,0,45,0,85,43,70,44,37,6,50,40,0,92,14,20,20,43,98,2,8,14,88,50,30,62,14,28,0,23,18,79,50,48,38,0,67,63,0,38,69,37,0,85,0,69,0,57,0,68,0,2,57,67,2,39,24,76,0,67,0,39,0,100,0,87,21,73,52,97,0,0,0,81,29,0,75,76,63,98,80,94,0,23,0,55,0,19,0,14,42,77,0,28,3,5,0,0,0,0,77,0,75,78,92,0,0,27,23,79,75,0,87,0,0,1,98,59,14,0,0,0,0,80,3,80,0,0,90,0,41,0,0,55,0,0,97,74,0,0,14,0,38,98,15,71,0,56,1,9,59,41,90,42,0,0,0,40,51,20,0,0,95,85,40,0,72,0,0,98,30,93,65,6,0,0,0,0,0,27,79,0,85,0,0,4,0,17,0,66,0,0,88,71,63,54,46,65,10,0
